0,"Collision of Worlds
Declaration of War
Part 1
By Michael DeBuse"
0,"Chapter 1 
“Leadership comes not from blood but from bonds.” 
Ceil "
1,Numerous villagers stood around the edges of Heivleil’s center square to see a sight most never imagined would happen in their tiny village.
0,Many covered their mouth both out of shock and to shield their breath from the plentiful dust blowing through their village.
0,"The wealthiest family in the village of Heivleil, located at the far corner of the Filinceil plains on the northeast edge of the Amelian Empire, had the misfortune of moving to the formerly idyllic farmlands just before the beginning of a severe drought and famine that persisted for a year and a half and showed no signs of ending."
0,"Driven into desperation, this family did the unthinkable."
0,"They sold their only daughter, Ceil, then only a year and a half in age."
0,"From the exquisite hand-drawn carriage to the High Elf honor guard dressed in polished white armor accentuated with golden tassels, the family must have sold Ceil for a high price to a noble family."
0,“No…” Ceil cried weakly.
0,"She pulled back against the grip of the High Elf honor guard, but his grip only tightened, and she was lifted into his arms."
0,“No!
0,Mom!
0,Dad!
0,I’m sorry!” 
0,"Ceil cried and flailed, but her body was too weak from the endless days of famine she had known her entire young life."
0,"She couldn’t free herself from her captor, and none of the spectating adults dared interfere with the royal guard."
0,"They only watched the harrowing scene, the girl’s shrill cries piercing their ears."
0,"The only villager who tried to interfere was Linoa, a young village girl only older than Ceil by a season."
0,She lost her younger sister to the famine at the end of summer and immediately clung to Ceil as a replacement.
0,"The two were inseparable, until three guards were called over to pin Linoa to the ground in the center of the square with a knee in her back and her face pressed into the dust."
0,“I’m sorry I didn’t listen.
0,I’m sorry I wrestled and my tails showed!
0,I don’t want to go.
0,Don’t sell me!”
0,"Arlen could not look at her daughter out of guilt, and Lum only watched, feeling that this was in his daughter’s best interest and benefited the village and the entire famine-ravaged territory."
0,"The sale of Ceil would enable them to buy much needed food and supplies from the neighboring territories untouched by the famine, and perhaps, if what he learned was true, the famine might soon end with Ceil removed."
0,"“Please!” Ceil pushed against the soldier’s chest, arms, and helmet as he tried to set her in the white, silk-canopied rickshaw."
0,Her hand pressed at his chin and neck through his helmet trying with all her might to separate from her captor.
0,"For a brief moment in the height of her fear, she saw a skeletal hand enveloped in hers, dark and putrid."
0,"Life distorted where she touched into something twisted and unnatural, rotting the royal guard’s skin."
0,The man pushed Ceil into the rickshaw before lurching over and vomiting uncontrollably.
0,"He tossed his helmet off, and the next heave was mixed with blood."
0,He held his neck to heal whatever evil Ceil had done.
0,"She huddled in the corner of the bench, grasping the silken fabric cover on the side with white knuckles and wide eyes, too terrified to question what happened or what she did or what she saw."
0,The honor guard recovered after strenuous effort and took a long swig from the water skin the Mountain Elf rickshaw driver handed him.
0,No one grew angry at Ceil.
0,No one accused her.
0,No one scolded her.
0,"A fairy dressed in a simple white gown walked beside the rickshaw and mounted it, ignoring the ill guard."
0,She sat beside Ceil and bowed her head.
0,“Do not be afraid.
0,We will not hurt you.
0,"I am your maid and caretaker, a gift from High King Dhurin of Vallen to Emperor Yuro Amel of the Amelian Empire for you, Ceil, future wife to the emperor.”"
1,"* * *
Two Whinhlem Years Later."
0,"A somber air blew through a circular room carved out from the inside of the trunk of a giant tree in the Gallanvale, the fairy capital of Vallen."
0,The candlesticks on the wall held not candles but waxy and fibrous plants that flickered with a faint yellow-green flame.
0,"Intricate carvings of plants and animals decorated the walls, but even they appeared to drown in the melancholy light."
0,"Around a large oval table carved from that same trunk and still connected by its wooden legs to the floor of the room sat twenty short and slim figures with sweating, pale faces."
0,Their pointed ears drooped ever so slightly and twitched in the cold draft from the open windows.
